"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"	"mean"	"year"	"winter"	"spring"	"summer"	"autumn"
"1"	NA	NA	NA	7.825	8.3258064516129	8.97333333333333	10.958064516129	11.8645161290323	9.82666666666667	6.84838709677419	4.84333333333333	1.80967741935484	7.91942054958184	1969	NA	8.07540322580645	10.5986379928315	7.17279569892473
"2"	3.53870967741935	4.13571428571429	5.04516129032258	6.41333333333333	7.75483870967742	10.5033333333333	10.5193548387097	10.2741935483871	9.27333333333333	7.62903225806452	6.14666666666667	4.03870967741936	7.10603174603175	1970	3.83721198156682	6.40444444444444	10.43229390681	7.68301075268817
"3"	3.89354838709677	4.64642857142857	4.41935483870968	7.28	9.78064516129032	9.6	10.9483870967742	11.7806451612903	9.86666666666667	8.23870967741935	6.42333333333333	6.26129032258065	7.76158410138249	1971	4.26998847926267	7.16	10.7763440860215	8.17623655913978
"4"	4.2	5.16206896551724	6.15483870967742	8.1	9.30645161290323	9.88666666666667	10.8193548387097	11.0451612903226	9.18333333333333	7.36774193548387	6	4.51290322580645	7.64487671486838	1972	4.68103448275862	7.85376344086022	10.5837275985663	7.51702508960573
"5"	3.52903225806452	4.75	6.59677419354839	8.16	9.96774193548387	12.95	12.9032258064516	13.3903225806452	11.25	7.89032258064516	5.64333333333333	5.28387096774194	8.52621863799283	1973	4.13951612903226	8.24150537634409	13.0811827956989	8.26121863799283
"6"	5.94193548387097	5.86428571428571	6.61935483870968	7.41666666666667	9.53548387096774	11.0366666666667	11.2354838709677	11.9193548387097	10.37	7.66129032258065	6.58	6.75161290322581	8.41101126472094	1974	5.90311059907834	7.85716845878136	11.3971684587814	8.20376344086022
"7"	6.10967741935484	4.74285714285714	5.76451612903226	7.12333333333333	9.12903225806452	10.6466666666667	12.0322580645161	12.6548387096774	10.7533333333333	8.20967741935484	5.99	5.06451612903226	8.18505888376856	1975	5.42626728110599	7.3389605734767	11.7779211469534	8.31767025089605
"8"	6.02903225806452	5.06896551724138	4.76129032258065	7.23	10.2903225806452	12.6766666666667	12.6451612903226	9.19354838709677	8.02333333333333	6.31612903225806	2.97333333333333	0.706451612903226	7.15951952787048	1976	5.54899888765295	7.42720430107528	11.5051254480287	5.77093189964157
"9"	2.98709677419355	6.2	7.60322580645161	6.95666666666667	9.62903225806452	11.2033333333333	12.6741935483871	12.3677419354839	9.01666666666667	8.53870967741936	6.81333333333333	4.97741935483871	8.24728494623656	1977	4.59354838709678	8.06297491039427	12.0817562724014	8.12290322580645
"10"	5.30967741935484	4.32142857142857	5.79677419354839	7.11333333333333	7.7258064516129	8.79333333333333	10.2161290322581	10.8612903225806	8.8	7.50645161290323	4.80666666666667	4.18387096774194	7.11956349206349	1978	4.81555299539171	6.87863799283154	9.95691756272401	7.03770609318997
"11"	4.69032258064516	5.39642857142857	5.69354838709677	5.90333333333333	8.63870967741935	10.1766666666667	9.56774193548387	9.84193548387097	8.72	6.61612903225806	5.6	6.12903225806452	7.24782066052228	1979	5.04337557603686	6.74519713261648	9.86211469534051	6.97870967741935
"12"	4.36129032258065	5.02068965517241	6.34193548387097	6.30666666666667	7.08064516129032	9.03	8.44193548387097	8.80967741935484	8.87	7.74838709677419	5.78	5.00967741935484	6.90007539241132	1980	4.69098998887653	6.57641577060932	8.7605376344086	7.46612903225806
"13"	4.01935483870968	4.66428571428571	6.5	6.02666666666667	9.51290322580645	9.35666666666667	10.3645161290323	10.3774193548387	9.9	7.48064516129032	6.04	5.77741935483871	7.50165642601127	1981	4.3418202764977	7.34652329749104	10.0328673835126	7.80688172043011
